date,sku,units_sold
2026-05-04,SKU-1001,17
2026-05-04,SKU-1002,33
2026-05-04,SKU-1003,4
2026-05-04,SKU-1004,4
2026-05-04,SKU-1005,0
2026-05-04,SKU-1006,0
2026-05-04,SKU-1007,21
2026-05-04,SKU-1008,0
2026-05-05,SKU-1001,14
2026-05-05,SKU-1002,33
2026-05-05,SKU-1003,9
2026-05-05,SKU-1004,0
2026-05-05,SKU-1005,1
2026-05-05,SKU-1006,2
2026-05-05,SKU-1007,21
2026-05-05,SKU-1008,0
2026-05-06,SKU-1001,15
2026-05-06,SKU-1002,35
2026-05-06,SKU-1003,3
2026-05-06,SKU-1004,7
2026-05-06,SKU-1005,2
2026-05-06,SKU-1006,5
2026-05-06,SKU-1007,18
2026-05-06,SKU-1008,0
2026-05-07,SKU-1001,14
2026-05-07,SKU-1002,34
2026-05-07,SKU-1003,5
2026-05-07,SKU-1004,13
2026-05-07,SKU-1005,0
2026-05-07,SKU-1006,3
2026-05-07,SKU-1007,32
2026-05-07,SKU-1008,4
2026-05-08,SKU-1001,19
2026-05-08,SKU-1002,39
2026-05-08,SKU-1003,6
2026-05-08,SKU-1004,12
2026-05-08,SKU-1005,0
2026-05-08,SKU-1006,0
2026-05-08,SKU-1007,16
2026-05-08,SKU-1008,3
2026-05-09,SKU-1001,27
2026-05-09,SKU-1002,42
2026-05-09,SKU-1003,7
2026-05-09,SKU-1004,10
2026-05-09,SKU-1005,3
2026-05-09,SKU-1006,0
2026-05-09,SKU-1007,28
2026-05-09,SKU-1008,6
2026-05-10,SKU-1001,18
2026-05-10,SKU-1002,52
2026-05-10,SKU-1003,12
2026-05-10,SKU-1004,12
2026-05-10,SKU-1005,3
2026-05-10,SKU-1006,7
2026-05-10,SKU-1007,32
2026-05-10,SKU-1008,3
2026-05-11,SKU-1001,10
2026-05-11,SKU-1002,37
2026-05-11,SKU-1003,8
2026-05-11,SKU-1004,10
2026-05-11,SKU-1005,1
2026-05-11,SKU-1006,6
2026-05-11,SKU-1007,18
2026-05-11,SKU-1008,2
2026-05-12,SKU-1001,13
2026-05-12,SKU-1002,34
2026-05-12,SKU-1003,0
2026-05-12,SKU-1004,6
2026-05-12,SKU-1005,0
2026-05-12,SKU-1006,6
2026-05-12,SKU-1007,17
2026-05-12,SKU-1008,0
2026-05-13,SKU-1001,15
2026-05-13,SKU-1002,32
2026-05-13,SKU-1003,6
2026-05-13,SKU-1004,4
2026-05-13,SKU-1005,0
2026-05-13,SKU-1006,3
2026-05-13,SKU-1007,24
2026-05-13,SKU-1008,4
2026-05-14,SKU-1001,10
2026-05-14,SKU-1002,48
2026-05-14,SKU-1003,5
2026-05-14,SKU-1004,9
2026-05-14,SKU-1005,0
2026-05-14,SKU-1006,4
2026-05-14,SKU-1007,26
2026-05-14,SKU-1008,3
2026-05-15,SKU-1001,21
2026-05-15,SKU-1002,33
2026-05-15,SKU-1003,9
2026-05-15,SKU-1004,12
2026-05-15,SKU-1005,1
2026-05-15,SKU-1006,4
2026-05-15,SKU-1007,20
2026-05-15,SKU-1008,1
2026-05-16,SKU-1001,20
2026-05-16,SKU-1002,48
2026-05-16,SKU-1003,10
2026-05-16,SKU-1004,11
2026-05-16,SKU-1005,0
2026-05-16,SKU-1006,3
2026-05-16,SKU-1007,34
2026-05-16,SKU-1008,5
2026-05-17,SKU-1001,21
2026-05-17,SKU-1002,40
2026-05-17,SKU-1003,14
2026-05-17,SKU-1004,3
2026-05-17,SKU-1005,3
2026-05-17,SKU-1006,5
2026-05-17,SKU-1007,39
2026-05-17,SKU-1008,5
2026-05-18,SKU-1001,15
2026-05-18,SKU-1002,27
2026-05-18,SKU-1003,9
2026-05-18,SKU-1004,9
2026-05-18,SKU-1005,0
2026-05-18,SKU-1006,6
2026-05-18,SKU-1007,22
2026-05-18,SKU-1008,4
2026-05-19,SKU-1001,16
2026-05-19,SKU-1002,40
2026-05-19,SKU-1003,11
2026-05-19,SKU-1004,6
2026-05-19,SKU-1005,0
2026-05-19,SKU-1006,0
2026-05-19,SKU-1007,19
2026-05-19,SKU-1008,1
2026-05-20,SKU-1001,11
2026-05-20,SKU-1002,21
2026-05-20,SKU-1003,5
2026-05-20,SKU-1004,9
2026-05-20,SKU-1005,2
2026-05-20,SKU-1006,2
2026-05-20,SKU-1007,30
2026-05-20,SKU-1008,7
2026-05-21,SKU-1001,14
2026-05-21,SKU-1002,32
2026-05-21,SKU-1003,11
2026-05-21,SKU-1004,8
2026-05-21,SKU-1005,2
2026-05-21,SKU-1006,0
2026-05-21,SKU-1007,15
2026-05-21,SKU-1008,0
2026-05-22,SKU-1001,12
2026-05-22,SKU-1002,40
